key,translation,options,desc_en,desc_vi,chapter,status,notes
"3-d printing"                                 , "3-D printing"                                 , "", "", "", 14, "approved", "Tên riêng, không dịch"
"advisory board"                               , "hội đồng cố vấn"                              , "hội đồng cố vấn", "group of advisors that helps an organization make strategic decisions about the business, bringing certain knowledge and experience that can bring a new perspective on issues without having the actual authority to vote or govern", "nhóm các cố vấn giúp tổ chức đưa ra các quyết định chiến lược về hoạt động kinh doanh, mang đến kiến thức và kinh nghiệm nhất định nhằm cung cấp góc nhìn mới về các vấn đề mà không có quyền biểu quyết hay quyền quản trị chính thức", 14, "approved", ""
"amazon"                                       , "Amazon"                                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"angel investors"                              , "Angel investors"                              , "", "", "", 14, "approved", "Tên riêng, không dịch"
"apple"                                        , "Apple"                                        , "", "", "", 14, "approved", "Tên riêng, không dịch"
"arrieta"                                      , "Arrieta"                                      , "", "", "", 14, "approved", "Tên riêng, không dịch"
"assets"                                       , "Assets"                                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"bank loans"                                   , "Bank loans"                                   , "", "", "", 14, "approved", "Tên riêng, không dịch"
"basecamp"                                     , "Basecamp"                                     , "", "", "", 14, "approved", "Tên riêng, không dịch"
"beauchamp"                                    , "Beauchamp"                                    , "", "", "", 14, "approved", "Tên riêng, không dịch"
"beiler"                                       , "Beiler"                                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"bing"                                         , "Bing"                                         , "", "", "", 14, "approved", "Tên riêng, không dịch"
"birchbox"                                     , "Birchbox"                                     , "", "", "", 14, "approved", "Tên riêng, không dịch"
"bootcamp"                                     , "Bootcamp"                                     , "", "", "", 14, "approved", "Tên riêng, không dịch"
"bootstrapping"                                , "Bootstrapping"                                , "", "", "", 14, "approved", "Tên riêng, không dịch"
"business process patent"                      , "business process patent"                      , "", "", "", 14, "approved", "Tên riêng, không dịch"
"cad"                                          , "CAD"                                          , "", "", "", 14, "approved", "Tên riêng, không dịch"
"cam"                                          , "CAM"                                          , "", "", "", 14, "approved", "Tên riêng, không dịch"
"chamber of commerce"                          , "chamber of commerce"                          , "", "", "", 14, "approved", "Tên riêng, không dịch"
"checklist"                                    , "checklist"                                    , "", "", "", 14, "approved", "Tên riêng, không dịch"
