key,translation,options,desc_en,desc_vi,chapter,status,notes
3dr’                                       ," ""3DR’""                                       "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
adaptive model                             ," ""mô hình thích ứng""                          "," ""mô hình thích ứng"""," ""method of entrepreneurial problem solving that seeks solutions in ways that are tested and known to be effective"""," ""phương pháp giải quyết vấn đề trong khởi nghiệp tìm kiếm các giải pháp theo những cách đã được kiểm chứng và được biết là hiệu quả""", 6," ""approved"""," """""
agw group                                  ," ""AGW Group""                                  "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
alsever                                    ," ""Alsever""                                    "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
amazon                                     ," ""Amazon""                                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
amirite.com                                ," ""Amirite.com""                                "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
anand                                      ," ""Anand""                                      "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
apple                                      ," ""Apple""                                      "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
assessment                                 ," ""giai đoạn đánh giá (assessment)""            "," ""giai đoạn đánh giá (assessment)"""," ""lean problem-solving process phase in which the entrepreneur experiments and analyzes the potential process and its capabilities"""," ""giai đoạn trong quy trình giải quyết vấn đề tinh gọn"," trong đó doanh nhân tiến hành thử nghiệm và phân tích quy trình tiềm năng cùng các khả năng của nó""", 6," ""approved"""
bezos                                      ," ""Bezos""                                      "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
bitgiving                                  ," ""BitGiving""                                  "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
blakely                                    ," ""Blakely""                                    "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
bombardier                                 ," ""Bombardier""                                 "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
brabham                                    ," ""Brabham""                                    "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
brainstorming                              ," ""brainstorming""                              "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
brown                                      ," ""Brown""                                      "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
business model canvas                      ," ""business model canvas""                      "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
campbell                                   ," ""Campbell""                                   "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
catwoe                                     ," ""CATWOE""                                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
charette                                   ," ""charette""                                   "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
clarify                                    ," ""làm rõ""                                     "," ""làm rõ"""," ""first step of the creative process"," which involves recognizing the existence of a gap between the current state and a desired state"""," ""bước đầu tiên của quá trình sáng tạo"," bao gồm việc nhận ra sự tồn tại của khoảng cách giữa trạng thái hiện tại và trạng thái mong muốn""", 6
collaborative methodologies                ," ""collaborative methodologies""                "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
communication skills                       ," ""kỹ năng giao tiếp""                          "," ""kỹ năng giao tiếp"""," ""skills entrepreneurs use to pool resources for the purposes of investigating solutions leading to innovative problem solving and competitive advantage"""," ""các kỹ năng mà doanh nhân sử dụng để huy động và kết nối nguồn lực nhằm mục đích tìm kiếm giải pháp"," từ đó dẫn đến việc giải quyết vấn đề mang tính đổi mới và tạo lợi thế cạnh tranh""", 6," ""approved"""
costello                                   ," ""Costello""                                   "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
creativity                                 ," ""sự sáng tạo""                                "," ""sự sáng tạo"""," ""development of original ideas"""," ""sự phát triển các ý tưởng mang tính nguyên bản""", 6," ""approved"""," """""
critical thinking                          ," ""tư duy phản biện""                           "," ""tư duy phản biện"""," ""complex analysis of a problem or issue with the goal of solving the problem or making a decision"""," ""việc phân tích phức tạp một vấn đề hoặc một tình huống với mục tiêu giải quyết vấn đề hoặc đưa ra quyết định""", 6," ""approved"""," """""
crowdfunding                               ," ""crowdfunding""                               "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
crowdsourcing                              ," ""huy động trí tuệ đám đông""                  "," ""huy động trí tuệ đám đông"""," ""teams of amateurs and non-experts working together to form a solution to a problem"""," ""các nhóm gồm những người nghiệp dư và không phải chuyên gia cùng làm việc để tạo ra giải pháp cho một vấn đề""", 6," ""approved"""," """""
curie                                      ," ""Curie""                                      "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
data analysis                              ," ""phân tích dữ liệu""                          "," ""phân tích dữ liệu"""," ""process of analyzing data and modeling the data into a structure that leads to innovative conclusions"""," ""quá trình phân tích dữ liệu và mô hình hóa dữ liệu thành một cấu trúc dẫn đến các kết luận mang tính đổi mới""", 6," ""approved"""," """""
david kelley design                        ," ""David Kelley Design""                        "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
decisiveness                               ," ""tính quyết đoán""                            "," ""tính quyết đoán"""," ""ability to make a quick", effective decision," not letting too much time go by in the process"""," ""khả năng đưa ra quyết định nhanh chóng và hiệu quả"," không để quá nhiều thời gian trôi qua trong quá trình ra quyết định"""
descriptive analytics                      ," ""Descriptive analytics""                      "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
design thinking                            ," ""tư duy thiết kế""                            "," ""tư duy thiết kế"""," ""method to focus the design and development decisions of a product on the needs of the customer"," typically involving an empathy-driven process to define complex problems and create solutions that address those problems"""," ""phương pháp tập trung các quyết định thiết kế và phát triển sản phẩm vào nhu cầu của khách hàng"," thường bao gồm một quy trình dựa trên sự thấu cảm nhằm xác định các vấn đề phức tạp và tạo ra các giải pháp giải quyết các vấn đề đó""", 6
design thinking process                    ," ""design thinking process""                    "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
design thinking tools                      ," ""design thinking tools""                      "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
develop                                    ," ""phát triển""                                 "," ""phát triển"""," ""stage in which the entrepreneur takes the list of ideas generated and tests each solution for feasibility"""," ""giai đoạn trong đó doanh nhân lấy danh sách các ý tưởng đã tạo ra và kiểm tra từng giải pháp về tính khả thi""", 6," ""approved"""," """""
dosomething.org                            ," ""DoSomething.org""                            "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
dufour                                     ," ""DuFour""                                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
entrepreneurial opportunity                ," ""entrepreneurial opportunity""                "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
entrepreneurial problem solving            ," ""giải quyết vấn đề khởi nghiệp""              "," ""giải quyết vấn đề khởi nghiệp"""," ""process of using innovation and creative solutions to close the opportunity gap by resolving complex societal", business," or technological problems"""," ""quá trình sử dụng đổi mới và các giải pháp sáng tạo để thu hẹp khoảng cách cơ hội bằng cách giải quyết các vấn đề phức tạp về xã hội"," kinh doanh hoặc công nghệ"""
evaluate                                   ," ""đánh giá (evaluate)""                        "," ""đánh giá (evaluate)"""," ""stage in which the final solution is assessed"""," ""giai đoạn trong đó giải pháp cuối cùng được đánh giá""", 6," ""approved"""," """""
evaluation                                 ," ""giai đoạn đánh giá (evaluation)""            "," ""giai đoạn đánh giá (evaluation)"""," ""lean problem-solving process phase in which behaviors are analyzed to assess success"""," ""giai đoạn trong quy trình giải quyết vấn đề tinh gọn"," trong đó các hành vi được phân tích để đánh giá mức độ thành công""", 6," ""approved"""
external communications                    ," ""External communications""                    "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
external environment                       ," ""môi trường bên ngoài""                       "," ""môi trường bên ngoài"""," ""outside the enterprise and encompasses customers", industry trends," and competition"""," ""môi trường bên ngoài doanh nghiệp", bao gồm khách hàng
facebook                                   ," ""Facebook""                                   "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
fishbone diagram                           ," ""fishbone diagram""                           "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
ford                                       ," ""Ford""                                       "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
ge                                         ," ""GE""                                         "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
google ventures                            ," ""Google Ventures""                            "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
granovetter                                ," ""Granovetter""                                "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
hackathon                                  ," ""hackathon""                                  "," ""hackathon"""," ""event", usually hosted by a tech company or organization, which brings together programmers and workers with other degrees of specialization within the company, community," or organization to collaborate on a project over a short period of time"""
heffern                                    ," ""Heffern""                                    "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
hirabayashi                                ," ""Hirabayashi""                                "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
human-centered design (hcd)                ," """"                                           "," """""," """""," """"", 6," ""proposal"""," """""
id two                                     ," ""ID Two""                                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
ideate                                     ," ""hình thành ý tưởng""                         "," ""hình thành ý tưởng"""," ""stage of the creative problem-solving process leading to the detailing and formation of idea generation by the entrepreneur"""," ""giai đoạn trong quá trình giải quyết vấn đề sáng tạo dẫn đến việc chi tiết hóa và hình thành các ý tưởng do doanh nhân tạo ra""", 6," ""approved"""," """""
ideation                                   ," ""Ideation""                                   "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
ideo                                       ," ""IDEO""                                       "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
imbellus                                   ," ""Imbellus""                                   "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
implement                                  ," ""triển khai""                                 "," ""triển khai"""," ""means to enact the plan and test for success"""," ""việc thực hiện kế hoạch và kiểm tra mức độ thành công""", 6," ""approved"""," """""
innovation flowchart                       ," ""innovation flowchart""                       "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
innovative model                           ," ""mô hình đổi mới""                            "," ""mô hình đổi mới"""," ""method of entrepreneurial problem solving that uses techniques unknown to the market and that bring competitive advantage to an organization"""," ""phương pháp giải quyết vấn đề trong khởi nghiệp sử dụng các kỹ thuật chưa được biết đến trên thị trường và mang lại lợi thế cạnh tranh cho tổ chức""", 6," ""approved"""," """""
internal communications                    ," ""Internal communications""                    "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
internal environment                       ," ""môi trường bên trong""                       "," ""môi trường bên trong"""," ""comprises the factors inside the enterprise", such as employees," and internal practices and processes"""," ""bao gồm các yếu tố bên trong doanh nghiệp như nhân viên và các hoạt động"," quy trình nội bộ"""
isaacs                                     ," ""Isaacs""                                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
