key,translation,options,desc_en,desc_vi,chapter,status,notes
"american micro devices"                              , "American Micro Devices"                              , "", "", "", 3, "approved", "Tên riêng, không dịch"
"anchoring strategies"                                , "chiến lược neo (đạo đức)"                            , "chiến lược neo (đạo đức)", "in the ethical context, the process of making ethics a foundation (anchor) of your business so that decision makers act keeping in mind key ethical considerations", "trong bối cảnh đạo đức, là quá trình lấy đạo đức làm nền tảng (neo) cho doanh nghiệp để những người ra quyết định luôn cân nhắc các yếu tố đạo đức quan trọng", 3, "approved", ""
"antitrust laws"                                      , "luật chống độc quyền"                                , "luật chống độc quyền", "prevent companies from abusing position or power in the market through exclusion or limitation of competitor access to the market", "các quy định ngăn chặn doanh nghiệp lạm dụng vị thế hoặc quyền lực trên thị trường thông qua việc loại trừ hoặc hạn chế khả năng tiếp cận thị trường của đối thủ cạnh tranh", 3, "approved", ""
"arrington"                                           , "Arrington"                                           , "", "", "", 3, "approved", "Tên riêng, không dịch"
"b-corporation"                                       , "B-corporation"                                       , "", "", "", 3, "approved", "Tên riêng, không dịch"
"bayh-dole act"                                       , "Bayh-Dole Act"                                       , "", "", "", 3, "approved", "Tên riêng, không dịch"
"bombas"                                              , "Bombas"                                              , "", "", "", 3, "approved", "Tên riêng, không dịch"
"branson"                                             , "Branson"                                             , "", "", "", 3, "approved", "Tên riêng, không dịch"
"business ethics"                                     , "đạo đức kinh doanh"                                  , "đạo đức kinh doanh", "conduct by which companies and their agents abide by the law and respect the rights of their stakeholders", "particularly their customers", 3, "approved", ""
"business for social responsibility"                  , "Business for Social Responsibility"                  , "", "", "", 3, "approved", "Tên riêng, không dịch"
"business roundtable"                                 , "Business Roundtable"                                 , "", "", "", 3, "approved", "Tên riêng, không dịch"
"campbell soup"                                       , "Campbell Soup"                                       , "", "", "", 3, "approved", "Tên riêng, không dịch"
"chevron"                                             , "Chevron"                                             , "", "", "", 3, "approved", "Tên riêng, không dịch"
"clayton act"                                         , "Clayton Act"                                         , "", "", "", 3, "approved", "Tên riêng, không dịch"
