key,translation,options,desc_en,desc_vi,chapter,status,notes
"burn rate"                          , "tốc độ đốt tiền"                    , "tốc độ đốt tiền", "rate at which cash outflow exceeds cash inflow", "tốc độ mà dòng tiền chi ra vượt quá dòng tiền thu vào", 15, "approved", ""
"buyback clause"                     , "điều khoản mua lại"                 , "điều khoản mua lại", "legal agreement regarding an exit by a founding team member prior to the harvesting of the venture", "thỏa thuận pháp lý liên quan đến việc một thành viên sáng lập rút lui trước khi doanh nghiệp thu được thành quả", 15, "approved", ""
"code of conduct"                    , "code of conduct"                    , "", "", "", 15, "approved", "Tên riêng, không dịch"
"company culture"                    , "văn hóa công ty"                    , "văn hóa công ty", "shared beliefs, values and assumptions held by people regarding how to behave or conduct themselves within the context of fitting into an organization", "các niềm tin, giá trị và giả định chung của mọi người về cách hành xử hoặc cư xử để phù hợp trong một tổ chức", 15, "approved", ""
"consultant"                         , "consultant"                         , "", "", "", 15, "approved", "Tên riêng, không dịch"
"delphi method"                      , "phương pháp Delphi"                 , "phương pháp Delphi", "group decision-making process that includes a diverse group of people who are located at different locations and willing to respond to a series of questionnaires to assist in providing ideas, information or solutions to a defined question or problem", "phương pháp ra quyết định nhóm gồm nhiều người đa dạng ở các địa điểm khác nhau, sẵn sàng trả lời một loạt bảng câu hỏi để hỗ trợ đưa ra ý tưởng, thông tin hoặc giải pháp cho một câu hỏi hoặc vấn đề xác định", 15, "approved", ""
"escalation of commitment"           , "sự leo thang cam kết"               , "sự leo thang cam kết", "tendency to continue with a predetermined action based on the past efforts and contributions to the project rather than an analysis of the current realities that disclose a new solution or approach is necessary", "xu hướng tiếp tục một hành động đã định trước dựa trên nỗ lực và đóng góp trong quá khứ thay vì phân tích thực tế hiện tại cho thấy cần một giải pháp hoặc cách tiếp cận mới", 15, "approved", ""
"fail-safe points"                   , "điểm kiểm soát an toàn"             , "điểm kiểm soát an toàn", "predetermined trigger points within the business plan that alert the entrepreneur to consider what actions are needed to bring the venture back to a healthy position", "các điểm kích hoạt được xác định trước trong kế hoạch kinh doanh, cảnh báo doanh nhân xem xét các hành động cần thiết để đưa doanh nghiệp trở lại vị thế lành mạnh", 15, "approved", ""
"founders’ agreement"                , "thỏa thuận giữa các nhà sáng lập"   , "thỏa thuận giữa các nhà sáng lập", "written document that addresses contractual topics such as division of equity, compensation, contributions to the venture, and commitments to the venture with timelines included", "tài liệu bằng văn bản đề cập đến các vấn đề hợp đồng như phân chia cổ phần, thù lao, đóng góp cho doanh nghiệp và các cam kết với doanh nghiệp kèm theo mốc thời gian", 15, "approved", ""
"gantt chart"                        , "biểu đồ Gantt"                      , "biểu đồ Gantt", "bar chart used to organize and plan sequential steps in a process", "biểu đồ dạng thanh dùng để tổ chức và lập kế hoạch các bước tuần tự trong một quy trình", 15, "approved", ""
"google"                             , "Google"                             , "", "", "", 15, "approved", "Tên riêng, không dịch"
"hindsight bias"                     , "thiên kiến nhìn lại"                , "thiên kiến nhìn lại", "belief that, in retrospect, the outcome was predictable when the outcome wasn't predictable due to various uncontrollable factors", "niềm tin rằng khi nhìn lại thì kết quả có thể dự đoán được trong khi thực tế không thể dự đoán do nhiều yếu tố không kiểm soát được", 15, "approved", ""
"hubris"                             , "sự tự cao"                          , "sự tự cao", "overinflated belief in oneself", "niềm tin quá mức vào bản thân", 15, "approved", ""
"journaling"                         , "journaling"                         , "", "", "", 15, "approved", "Tên riêng, không dịch"
"lifestyle business"                 , "doanh nghiệp phục vụ lối sống"      , "doanh nghiệp phục vụ lối sống", "business that provides incomes similar to other forms of employment", "doanh nghiệp mang lại thu nhập tương tự các hình thức việc làm khác", 15, "approved", ""
"lovepop"                            , "Lovepop"                            , "", "", "", 15, "approved", "Tên riêng, không dịch"
"luminaid"                           , "LuminAID"                           , "", "", "", 15, "approved", "Tên riêng, không dịch"
"mentor"                             , "mentor"                             , "", "", "", 15, "approved", "Tên riêng, không dịch"
"mindmap"                            , "mindmap"                            , "", "", "", 15, "approved", "Tên riêng, không dịch"
"nominal group"                      , "kỹ thuật nhóm danh nghĩa"           , "kỹ thuật nhóm danh nghĩa", "group decision-making technique in which participants independently write their thoughts, which are then shared, discussed, and ranked to reach consensus", "kỹ thuật ra quyết định nhóm trong đó các thành viên độc lập ghi lại suy nghĩ, sau đó chia sẻ, thảo luận và xếp hạng để đạt đồng thuận", 15, "approved", ""
"noncompete agreement"               , "thỏa thuận không cạnh tranh"        , "thỏa thuận không cạnh tranh", "formal agreement that the person signing the document will not work for another organization that is a direct competitor of their current employer during employment and usually for a specified length of time after employment ends", "thỏa thuận chính thức rằng người ký văn bản sẽ không làm việc cho bất kỳ tổ chức nào là đối thủ cạnh tranh trực tiếp của người sử dụng lao động hiện tại trong thời gian làm việc và thường trong một khoảng thời gian xác định sau khi chấm dứt quan hệ lao động", 15, "approved", ""
"nondisclosure agreement"            , "thỏa thuận không tiết lộ"           , "thỏa thuận không tiết lộ", "formal agreement that the person signing the document will not sharing proprietary information with outside sources", "thỏa thuận chính thức rằng người ký sẽ không chia sẻ thông tin độc quyền với bên ngoài", 15, "approved", ""
"paypal"                             , "PayPal"                             , "", "", "", 15, "approved", "Tên riêng, không dịch"
"planning fallacy"                   , "ngụy biện lập kế hoạch"             , "ngụy biện lập kế hoạch", "creation of a plan that is too optimistic and not aligned with conservative assumptions", "việc lập kế hoạch quá lạc quan và không phù hợp với các giả định thận trọng", 15, "approved", ""
"score"                              , "SCORE"                              , "", "", "", 15, "approved", "Tên riêng, không dịch"
"small business administration (sba)", "Small Business Administration (SBA)", "", "", "", 15, "approved", "Tên riêng, không dịch"
"social capital"                     , "vốn xã hội"                         , "vốn xã hội", "goodwill that is created through helping someone else", "thiện chí được tạo ra thông qua việc giúp đỡ người khác", 15, "approved", ""
"stacy’s pita chips"                 , "Stacy’s Pita Chips"                 , "", "", "", 15, "approved", "Tên riêng, không dịch"
"startup champions network"          , "Startup Champions Network"          , "", "", "", 15, "approved", "Tên riêng, không dịch"
"status quo bias"                    , "thiên kiến hiện trạng"              , "thiên kiến hiện trạng", "pattern of relying on previous actions and results as the accepted pattern and outcome with a bias against change or new information or new results", "xu hướng dựa vào các hành động và kết quả trước đây như chuẩn mực chấp nhận, thiên lệch chống lại sự thay đổi hoặc thông tin hay kết quả mới", 15, "approved", ""
"vision statement"                   , "vision statement"                   , "", "", "", 15, "approved", "Tên riêng, không dịch"
"y combinator"                       , "Y Combinator"                       , "", "", "", 15, "approved", "Tên riêng, không dịch"
