key,translation,options,desc_en,desc_vi,chapter,status,notes
"air jordan"                                           , "Air Jordan"                                           , "", "", "", 7, "approved", "Tên riêng, không dịch"
"airbnb"                                               , "Airbnb"                                               , "", "", "", 7, "approved", "Tên riêng, không dịch"
"alphagamma.com"                                       , "AlphaGamma.com"                                       , "", "", "", 7, "approved", "Tên riêng, không dịch"
"alzheimer's association"                              , "Alzheimer's Association"                              , "", "", "", 7, "approved", "Tên riêng, không dịch"
"american red cross"                                   , "American Red Cross"                                   , "", "", "", 7, "approved", "Tên riêng, không dịch"
"andreessen"                                           , "Andreessen"                                           , "", "", "", 7, "approved", "Tên riêng, không dịch"
"andreessen horowitz"                                  , "Andreessen Horowitz"                                  , "", "", "", 7, "approved", "Tên riêng, không dịch"
"angel investors"                                      , "Angel investors"                                      , "", "", "", 7, "approved", "Tên riêng, không dịch"
"apple"                                                , "Apple"                                                , "", "", "", 7, "approved", "Tên riêng, không dịch"
"ask"                                                  , "khoản yêu cầu (ask)"                                  , "khoản yêu cầu (ask)", "specific amount of money or type of assistance requested in a pitch", "số tiền cụ thể hoặc loại hỗ trợ cụ thể được yêu cầu trong một bài pitch", 7, "approved", ""
"baylor university new venture competition"            , "Baylor University New Venture Competition"            , "", "", "", 7, "approved", "Tên riêng, không dịch"
"brand advocate"                                       , "brand advocate"                                       , "", "", "", 7, "approved", "Tên riêng, không dịch"
"brand image"                                          , "brand image"                                          , "", "", "", 7, "approved", "Tên riêng, không dịch"
"business model canvas (bmc)"                          , "business model canvas (BMC)"                          , "", "", "", 7, "approved", "Tên riêng, không dịch"
"coca-cola"                                            , "Coca-Cola"                                            , "", "", "", 7, "approved", "Tên riêng, không dịch"
"collegiate entrepreneurs’ organization"               , "Collegiate Entrepreneurs’ Organization"               , "", "", "", 7, "approved", "Tên riêng, không dịch"
"corporate narrative"                                  , "câu chuyện doanh nghiệp"                              , "câu chuyện doanh nghiệp", "story about how a successful company grew from something small into something broad and powerful, serving thousands or even millions of people; it may have marketing purposes, and it may serve as an inspirational story for leaders and employees", "câu chuyện về cách một công ty thành công phát triển từ quy mô nhỏ trở thành một tổ chức lớn và có ảnh hưởng, phục vụ hàng nghìn hoặc thậm chí hàng triệu người; câu chuyện này có thể phục vụ mục đích marketing và cũng có thể đóng vai trò như một câu chuyện truyền cảm hứng cho lãnh đạo và nhân viên", 7, "approved", ""
"couchsurfing.com"                                     , "couchsurfing.com"                                     , "", "", "", 7, "approved", "Tên riêng, không dịch"
"craigslist"                                           , "Craigslist"                                           , "", "", "", 7, "approved", "Tên riêng, không dịch"
"creative commons"                                     , "Creative Commons"                                     , "", "", "", 7, "approved", "Tên riêng, không dịch"
"draper competition for collegiate women entrepreneurs", "Draper Competition for Collegiate Women Entrepreneurs", "", "", "", 7, "approved", "Tên riêng, không dịch"
